"","ctr.1","ctr.2","ctr.3","ctr.4","als.1","als.2","als.3","als.4"
"FDXACB1",1,0,1,1,1,1,1,1
"FDXR",13,4,10,10,10,7,10,3
"FECH",2,1,3,3,2,1,2,2
"FEM1A",10,5,12,9,12,9,12,13
"FEM1B",21,23,25,21,25,28,25,23
"FEM1C",6,7,6,5,7,7,6,7
"FEN1",22,4,16,13,16,5,20,21
"FER",4,3,4,4,4,3,4,4
"FER1L4",1,2,1,0,1,1,1,0
"FER1L5",0,0,0,0,0,0,0,0
"FER1L6",0,0,0,0,0,0,0,0
"FERD3L",0,0,0,0,1,0,1,0
"FERMT1",0,0,0,0,0,0,0,0
"FERMT2",19,12,21,43,18,12,18,19
"FERMT3",0,0,0,0,0,0,0,0
"FES",0,0,0,0,0,0,0,0
"FETUB",0,0,0,0,0,0,0,0
"FEV",0,0,0,0,0,0,0,0
"FEZ1",92,117,105,83,120,135,136,130
"FEZ2",28,10,28,24,24,10,26,25
"FEZF1",24,0,1,15,7,7,3,8
"FEZF1-AS1",26,0,1,12,8,8,3,8
"FEZF2",3,1,0,3,1,0,1,1
"FFAR1",0,0,0,0,0,0,0,0
"FFAR2",0,0,0,0,0,0,0,0
"FFAR3",0,0,0,0,0,0,0,0
"FGB",0,0,0,0,0,0,0,0
"FGD1",14,14,15,15,16,17,15,15
"FGD2",0,0,0,0,0,0,0,0
"FGD3",2,2,3,1,4,2,3,3
"FGD4",5,4,4,3,5,5,5,5
"FGD5",1,1,1,1,1,1,1,1
"FGD5-AS1",56,27,52,43,58,33,57,59
"FGD6",2,1,2,3,2,1,2,2
"FGF1",3,0,3,1,2,1,2,1
"FGF10",0,0,1,1,1,0,0,0
"FGF11",27,15,38,40,42,26,44,32
"FGF12",1,2,4,1,4,2,2,2
"FGF13",17,27,61,13,34,76,26,30
"FGF13-AS1",0,0,0,0,0,0,0,0
"FGF14",3,3,6,4,4,3,9,4
"FGF14-AS2",3,1,2,2,3,1,2,3
"FGF14-IT1",0,0,0,0,0,0,0,0
"FGF16",0,0,0,0,0,0,0,0
"FGF17",1,2,0,0,0,2,0,0
"FGF18",0,0,0,3,0,0,0,0
"FGF19",11,2,4,3,3,0,4,3
"FGF2",4,3,4,4,3,3,3,3
"FGF20",0,0,0,0,0,0,0,0
"FGF21",0,0,0,0,0,0,0,0
"FGF22",0,0,0,0,0,0,0,0
"FGF23",0,0,0,0,0,0,0,0
"FGF3",0,0,0,0,0,0,0,0
"FGF5",1,1,1,0,1,1,1,1
"FGF7",0,0,1,2,0,0,0,1
"FGF8",1,0,0,2,0,0,0,0
"FGF9",2,2,2,3,2,2,2,2
"FGFBP1",0,0,0,0,0,0,0,0
"FGFBP2",2,1,2,8,2,2,1,1
"FGFBP3",53,31,63,18,76,37,72,88
"FGFR1",39,26,26,43,31,25,34,28
"FGFR1OP",7,7,7,5,7,7,7,7
"FGFR1OP2",15,7,13,13,14,8,13,14
"FGFR2",8,10,22,10,14,7,28,17
"FGFR3",29,58,38,21,45,110,50,47
"FGFR4",1,1,0,1,1,1,1,1
"FGFRL1",36,19,35,26,32,25,29,28
"FGGY",1,2,2,2,2,1,2,2
"FGL2",0,0,0,0,0,0,0,0
"FGR",0,0,0,0,0,0,0,0
"FH",27,32,35,30,33,24,32,36
"FHAD1",2,0,1,0,1,0,1,1
"FHDC1",0,2,2,1,1,2,1,1
"FHIT",0,1,1,1,1,1,0,1
"FHL1",37,79,167,45,74,62,74,64
"FHL2",2,1,6,18,1,2,2,2
"FHL3",4,3,6,17,3,4,3,4
"FHL5",0,0,0,0,0,0,0,0
"FHOD1",2,2,1,2,1,1,1,1
"FHOD3",11,7,10,8,11,7,8,11
"FIBCD1",1,4,4,4,1,3,2,1
"FIBIN",2,0,4,8,1,0,1,2
"FIBP",32,20,37,33,42,15,35,39
"FICD",3,1,3,3,4,1,3,3
"FIG4",13,6,14,11,15,9,13,14
"FIGF",0,0,0,1,0,0,0,0
"FIGLA",0,0,0,0,0,0,0,0
"FIGN",3,9,3,2,2,4,3,3
"FIGNL1",4,1,3,3,3,1,4,3
"FIGNL2",2,4,2,1,2,4,3,3
"FILIP1",3,3,3,1,4,5,3,4
"FILIP1L",2,1,3,8,1,1,1,2
"FIP1L1",27,28,24,23,26,26,28,30
"FIS1",68,85,82,66,97,79,90,95
"FITM1",0,0,0,0,0,0,0,0
"FITM2",5,3,5,4,6,4,5,6
"FIZ1",8,7,9,6,8,8,9,9
"FJX1",45,8,34,18,45,19,35,31
"FKBP10",62,38,45,112,42,30,37,29
"FKBP11",6,4,3,3,3,5,3,3
"FKBP14",5,2,4,8,3,3,3,3
"FKBP15",9,4,8,9,9,5,9,8
"FKBP1A",77,43,78,78,82,42,70,86
"FKBP1A-SDCBP2",0,2,0,1,0,2,0,0
"FKBP1AP1",2,1,1,1,0,0,0,1
"FKBP1B",20,42,33,17,27,41,26,26
"FKBP2",47,29,50,50,62,39,55,57
"FKBP3",48,37,56,36,54,30,52,67
"FKBP4",27,58,32,23,38,32,38,42
"FKBP5",3,2,5,5,1,1,3,3
"FKBP6",0,0,0,0,0,0,0,0
"FKBP7",3,5,5,11,4,3,4,4
"FKBP8",106,113,115,106,129,106,125,117
"FKBP9",20,11,23,29,16,14,17,18
"FKBP9L",1,0,0,1,1,0,0,0
"FKBPL",3,2,3,3,4,2,4,5
"FKRP",7,2,7,5,8,4,7,7
"FKSG29",0,0,0,0,0,0,0,0
"FKTN",5,2,4,4,4,3,4,4
"FLAD1",14,14,13,11,16,12,16,17
"FLCN",8,7,9,9,9,6,7,9
"FLG",0,0,0,0,0,0,0,0
"FLG2",0,0,0,0,0,0,0,0
"FLI1",0,0,0,1,0,0,0,0
"FLI1-AS1",0,0,0,0,0,0,0,0
"FLII",25,25,20,23,23,25,22,22
"FLJ10038",4,4,4,3,6,5,4,5
"FLJ11235",0,1,2,0,1,1,1,1
"FLJ12334",0,0,0,0,0,0,0,0
"FLJ12825",27,37,23,9,40,43,24,57
"FLJ13197",1,2,1,1,1,2,2,1
"FLJ13224",0,0,0,0,0,0,0,0
"FLJ14107",0,0,0,0,0,0,0,0
"FLJ14186",1,1,1,1,1,1,1,1
"FLJ16341",0,0,0,0,0,0,0,0
"FLJ16779",1,0,2,2,2,2,1,3
"FLJ20021",3,5,4,4,5,2,4,5
"FLJ20518",0,0,0,0,0,0,0,0
"FLJ21408",0,0,0,0,0,0,0,0
"FLJ22184",14,30,15,13,15,26,18,15
"FLJ22447",0,0,0,0,0,0,0,0
"FLJ23152",0,0,0,0,0,0,0,0
"FLJ23867",1,1,1,1,1,1,1,2
"FLJ25363",0,0,0,0,0,0,0,0
"FLJ25758",0,0,0,0,0,0,0,0
"FLJ26850",1,1,1,0,0,1,1,1
"FLJ27352",5,1,6,3,5,1,4,5
"FLJ27354",0,0,0,0,0,0,0,1
"FLJ30403",2,1,1,1,1,2,1,1
"FLJ30679",0,0,0,0,0,0,0,0
"FLJ30838",0,1,0,0,0,0,1,0
"FLJ31306",11,6,7,5,8,5,9,8
"FLJ31485",0,2,2,0,0,0,4,1
"FLJ31662",1,1,0,1,1,1,1,1
"FLJ31813",0,0,0,0,0,0,0,0
"FLJ33065",0,0,0,1,0,0,0,1
"FLJ33360",0,0,0,0,0,0,0,0
"FLJ33534",0,0,0,0,0,0,0,0
"FLJ33581",0,0,0,0,0,0,0,0
"FLJ33630",1,0,1,1,2,0,1,1
"FLJ34208",0,0,0,0,0,1,0,0
"FLJ34503",0,0,0,0,0,0,0,0
"FLJ35024",6,1,5,4,2,5,2,7
"FLJ35282",0,0,0,0,0,0,0,0
"FLJ35390",1,4,2,1,3,4,2,2
"FLJ35946",2,5,2,1,1,3,2,2
"FLJ36000",0,0,0,0,0,0,0,0
"FLJ36777",0,0,0,0,0,0,0,0
"FLJ37035",0,0,0,0,0,0,0,0
"FLJ37201",0,1,0,0,1,1,0,1
"FLJ37453",3,1,3,2,4,2,3,4
"FLJ37505",0,0,0,0,0,0,0,0
"FLJ38109",0,0,0,0,0,0,0,0
"FLJ38576",0,0,0,0,0,0,0,0
"FLJ39051",3,2,2,2,4,3,2,3
"FLJ39080",0,0,0,0,0,0,0,0
"FLJ39534",2,2,2,2,3,4,2,2
"FLJ39639",0,0,0,0,0,0,0,0
"FLJ39653",1,0,0,1,1,0,1,1
"FLJ39739",0,0,0,0,1,0,0,1
"FLJ40292",0,0,0,0,0,0,0,0
"FLJ40852",1,0,0,0,2,0,1,1
"FLJ41200",0,0,0,0,0,0,0,0
"FLJ41278",0,0,0,0,0,0,0,0
"FLJ41350",1,2,2,2,2,0,6,2
"FLJ41649",0,0,0,0,0,0,0,0
"FLJ41941",0,0,0,0,0,0,0,0
"FLJ42102",0,0,0,0,0,0,0,0
"FLJ42280",0,0,0,0,0,0,0,0
"FLJ42289",0,0,0,0,0,0,0,0
"FLJ42351",0,0,0,0,0,0,0,1
"FLJ42393",0,0,0,0,0,0,0,0
"FLJ42627",3,1,3,3,3,2,4,3
"FLJ42709",18,33,20,16,20,22,20,27
"FLJ42875",0,1,1,1,0,0,1,1
"FLJ42969",0,0,0,0,0,0,0,0
"FLJ43315",0,0,0,0,0,0,0,0
"FLJ43663",0,2,1,0,1,2,1,1
"FLJ43681",2,1,1,1,1,1,1,1
"FLJ43860",0,0,0,0,0,0,0,0
"FLJ43879",0,0,0,0,0,0,0,0
"FLJ44511",0,0,0,0,0,0,0,0
"FLJ44635",22,37,21,53,27,20,25,35
"FLJ45079",0,0,0,0,0,0,0,0
"FLJ45340",8,5,4,4,4,6,5,4
"FLJ45445",1,1,1,1,1,1,1,0
"FLJ45513",0,0,0,0,0,0,0,0
"FLJ45983",0,0,0,0,0,0,0,0
"FLJ46066",0,0,0,0,0,0,0,0
"FLJ46300",0,0,0,0,0,0,0,0
"FLJ46361",0,0,0,0,0,0,0,0
"FLJ46446",0,0,0,0,0,0,0,0
"FLJ46906",3,2,2,1,1,1,2,2
"FLNA",133,67,96,159,87,69,79,63
"FLNB",13,4,8,25,8,5,7,6
"FLNC",35,26,66,23,49,34,50,30
"FLOT1",78,81,91,77,92,74,87,82
"FLOT2",56,28,47,43,48,33,47,49
"FLRT1",7,9,6,8,8,21,8,9
"FLRT2",3,1,4,22,3,3,4,4
"FLRT3",8,2,7,8,9,5,7,7
"FLT1",0,0,0,1,0,0,0,0
"FLT3",0,0,0,0,0,0,0,0
"FLT3LG",1,0,0,2,0,0,0,1
"FLT4",0,0,1,0,0,0,1,1
"FLVCR1",6,6,5,3,5,4,6,5
"FLVCR1-AS1",1,1,1,3,3,1,0,2
"FLVCR2",0,0,1,1,0,0,0,0
"FLYWCH1",8,8,9,8,10,11,10,10
"FLYWCH2",21,13,27,21,27,14,25,26
"FMN1",0,0,0,0,0,0,0,0
"FMN2",6,5,10,4,8,7,8,8
"FMNL1",1,0,1,1,1,1,1,1
"FMNL2",22,16,21,19,18,15,17,19
"FMNL3",2,2,2,3,1,2,2,2
"FMO1",0,0,0,1,0,0,0,0
"FMO2",0,0,0,0,0,0,0,0
"FMO3",0,0,0,0,0,0,0,0
"FMO4",0,0,0,1,0,0,0,0
"FMO5",1,0,0,0,0,0,0,0
"FMOD",0,0,0,4,0,0,0,0
"FMR1",17,11,14,15,16,11,15,16
"FMR1-AS1",0,0,0,0,0,0,0,0
"FMR1NB",0,0,0,0,0,0,0,0
"FN1",39,11,64,147,7,4,10,12
"FN3K",11,11,16,12,18,11,15,14
"FN3KRP",13,6,14,14,15,7,14,14
"FNBP1",14,11,12,16,12,12,11,11
"FNBP1L",51,52,51,39,56,54,59,61
"FNBP4",16,30,10,12,11,22,13,12
"FNDC1",0,0,0,0,0,0,0,0
"FNDC3A",24,14,18,20,19,17,19,17
"FNDC3B",7,3,8,10,6,3,7,5
"FNDC4",9,12,20,11,17,11,14,13
"FNDC5",33,56,37,43,29,49,61,45
"FNDC7",0,0,0,0,0,0,0,0
"FNDC8",1,1,1,1,1,1,1,1
"FNDC9",1,1,1,0,1,1,2,1
"FNIP1",5,4,4,5,4,5,4,5
"FNIP2",8,7,10,6,11,9,10,11
"FNTA",23,21,23,20,22,18,24,28
"FNTB",7,1,8,7,8,2,5,5
"FOCAD",9,8,11,8,9,9,8,10
"FOLH1",24,1,0,0,1,0,0,1
"FOLH1B",1,0,0,0,0,0,0,0
"FOLR1",1,1,0,0,1,0,2,0
"FOLR2",0,0,0,0,0,0,0,0
"FOLR3",0,0,0,0,0,0,0,0
"FONG",0,0,0,0,0,0,0,0
"FOPNL",8,7,8,7,7,6,8,10
"FOS",9,12,12,8,9,9,9,7
"FOSB",0,1,1,0,0,0,0,0
"FOSL1",1,0,1,1,1,1,0,0
"FOSL2",3,1,2,10,2,2,1,2
"FOXA1",7,1,17,1,9,3,15,11
"FOXA2",0,0,1,0,0,0,0,0
"FOXA3",0,0,0,0,0,0,0,0
"FOXB1",18,5,9,9,11,5,14,10
"FOXC1",1,0,1,6,0,0,0,0
"FOXC2",0,0,0,1,0,0,0,0
"FOXD1",5,0,1,2,1,1,1,4
"FOXD2",0,0,0,1,0,0,0,0
"FOXD2-AS1",0,0,0,2,0,0,0,0
"FOXD3",0,1,3,0,1,1,2,4
"FOXD4",0,0,1,0,0,0,0,0
"FOXD4L1",0,0,0,0,0,0,0,0
"FOXD4L2",0,0,0,0,0,0,0,0
"FOXD4L3",0,0,0,0,0,0,0,0
"FOXD4L4",0,0,0,0,0,0,0,0
"FOXD4L5",0,0,0,0,0,0,0,0
"FOXD4L6",0,0,0,0,0,0,0,0
"FOXE1",0,0,0,0,0,0,0,0
"FOXE3",0,0,0,0,0,0,0,0
"FOXF1",0,0,1,4,0,0,0,0
"FOXF1-AS1",0,0,0,2,0,0,0,0
"FOXF2",0,0,1,13,0,0,0,0
"FOXG1",1,0,0,1,0,0,0,0
"FOXH1",0,0,0,0,0,0,0,0
"FOXI1",0,0,0,0,0,0,0,0
"FOXI2",0,0,0,0,0,0,0,0
"FOXI3",0,0,0,1,0,0,0,0
"FOXJ1",33,5,31,8,39,6,32,24
"FOXJ2",7,5,6,8,6,6,6,6
"FOXJ3",12,15,12,11,12,16,13,14
"FOXK1",14,10,10,10,9,17,8,10
"FOXK2",19,23,20,19,20,22,20,22
"FOXL1",0,0,0,0,0,0,0,0
"FOXL2",0,0,0,0,0,0,0,0
"FOXM1",12,7,9,9,5,4,8,9
"FOXN2",2,5,3,2,2,3,3,3
"FOXN3",10,18,10,13,11,16,12,12
"FOXN3-AS1",0,0,0,1,1,0,0,0
"FOXN3-AS2",0,0,0,0,0,0,0,0
"FOXN4",2,3,1,1,1,2,1,2
"FOXO1",5,2,4,6,4,3,3,4
"FOXO3",12,15,11,11,11,18,11,11
"FOXO3B",5,6,4,4,5,7,6,7
"FOXO4",33,3,6,11,8,5,9,5
"FOXP1",14,12,18,12,18,21,15,19
"FOXP2",2,3,6,3,3,3,8,10
"FOXP3",0,0,0,0,0,0,0,0
"FOXP4",14,23,11,17,11,19,14,16
"FOXQ1",0,0,0,1,0,0,0,0
"FOXR1",0,0,0,0,0,0,0,0
"FOXRED1",13,7,13,9,15,9,15,14
"FOXRED2",11,3,10,10,15,5,11,11
"FOXS1",1,0,2,16,0,0,0,0
"FP588",3,3,4,3,4,6,3,3
"FPGS",15,6,9,13,11,5,11,10
"FPGT",2,0,1,1,1,0,2,1
"FPGT-TNNI3K",1,0,0,1,0,1,1,0
"FPR1",0,0,0,0,0,0,0,0
"FPR3",0,0,0,0,0,0,0,0
"FRA10AC1",7,3,5,7,8,6,5,6
"FRAS1",1,2,2,3,2,2,2,2
"FRAT1",2,1,2,1,3,2,2,2
"FRAT2",2,3,3,2,3,4,3,4
"FREM1",6,2,7,6,4,1,6,3
"FREM2",1,1,1,3,1,0,1,0
"FREM3",0,0,2,0,1,3,0,1
"FRG1",29,32,21,15,30,18,32,38
"FRG1B",20,19,1,17,21,8,21,21
"FRG2",0,0,0,0,0,0,0,0
"FRG2B",0,0,0,0,0,0,0,0
"FRG2C",0,0,0,0,0,0,0,0
"FRK",0,0,0,0,0,0,0,0
"FRMD3",2,1,4,1,4,1,3,3
"FRMD4A",22,15,23,19,25,20,27,23
"FRMD4B",8,6,6,4,6,6,7,8
"FRMD5",3,5,7,3,6,6,6,6
"FRMD6",3,1,2,7,2,2,2,1
"FRMD6-AS1",0,0,0,0,0,0,0,0
"FRMD6-AS2",0,0,0,0,0,0,0,0
"FRMD7",0,0,0,0,0,0,0,0
"FRMD8",6,1,4,5,4,2,3,3
"FRMD8P1",0,0,0,0,0,0,0,0
"FRMPD1",0,0,0,0,0,0,0,0
"FRMPD2",0,0,0,0,0,0,1,0
"FRMPD2P1",0,0,0,0,0,0,0,0
"FRMPD4",0,0,1,0,1,1,1,0
"FRRS1",2,1,1,3,1,0,1,1
"FRRS1L",2,2,8,3,7,4,4,4
"FRS2",8,5,7,7,8,6,8,8
"FRS3",7,7,10,5,10,9,9,10
"FRY",4,6,5,4,6,9,4,5
"FRYL",7,3,4,5,5,3,5,5
"FRZB",5,29,21,4,6,9,21,15
"FSBP",2,1,2,2,2,1,2,1
"FSCN1",84,135,98,77,114,115,118,119
"FSCN2",2,1,2,2,2,1,2,1
"FSCN3",0,0,0,0,0,0,0,0
"FSD1",19,25,25,11,26,23,26,24
"FSD1L",10,7,13,7,14,7,13,17
"FSD2",0,0,0,0,0,0,0,0
"FSHB",0,0,0,0,0,0,0,0
"FSHR",0,0,0,0,0,0,0,0
"FSIP1",2,0,2,1,1,0,1,1
"FSIP2",1,0,0,1,0,1,0,0
"FST",3,0,1,9,1,1,1,1
"FSTL1",64,24,60,189,43,19,64,43
"FSTL3",6,4,5,7,5,4,5,4
"FSTL4",1,2,5,1,4,4,2,3
"FSTL5",2,3,5,2,3,5,4,5
"FTCD",0,1,0,0,0,1,0,0
"FTH1",632,792,714,944,770,740,643,737
"FTH1P3",1,1,0,1,0,1,0,1
"FTL",704,1172,663,1048,837,724,711,977
"FTLP10",0,0,0,0,0,0,0,0
"FTO",19,26,24,19,23,27,22,25
"FTSJ1",13,13,16,14,17,14,17,21
"FTSJ2",12,3,13,12,14,6,13,16
"FTSJ3",20,7,16,13,16,8,17,11
"FTSJD1",6,2,5,5,5,3,5,5
"FTSJD2",19,13,15,16,17,16,18,16
"FTX",1,1,1,2,1,1,1,1
"FUBP1",51,73,48,40,51,51,55,56
"FUBP3",25,17,24,20,24,16,24,25
"FUCA1",7,5,9,10,9,5,5,8
"FUCA2",15,14,12,13,12,8,10,14
"FUK",4,2,3,3,3,3,3,2
"FUNDC1",12,8,26,12,15,15,14,16
"FUNDC2",14,28,15,16,16,16,17,20
"FUNDC2P2",0,0,0,0,0,0,0,0
"FUOM",4,1,3,3,4,1,4,2
"FURIN",10,3,10,17,8,7,8,6
"FUS",85,18,85,69,90,18,96,85
"FUT1",0,0,1,0,1,1,1,0
"FUT10",4,3,3,3,3,3,3,3
"FUT11",15,6,13,14,16,8,15,14
"FUT2",1,1,1,1,1,2,1,1
"FUT3",1,4,1,1,1,5,1,1
"FUT4",0,0,1,1,0,0,0,1
"FUT5",1,3,1,1,1,3,2,1
"FUT6",0,1,0,0,0,1,0,0
"FUT7",0,0,0,0,0,0,0,0
"FUT8",10,5,13,11,11,8,12,12
"FUT8-AS1",0,0,1,0,0,0,1,0
"FUT9",4,4,4,2,6,10,4,5
"FUZ",14,6,8,8,10,6,11,11
"FXC1",9,10,8,8,10,6,10,12
"FXN",2,3,3,3,2,1,3,3
"FXR1",18,25,15,15,15,18,16,17
"FXR2",20,23,21,18,27,23,26,28
"FXYD1",1,1,3,2,2,1,2,1
"FXYD2",1,1,0,0,0,1,0,0
"FXYD3",0,0,0,0,0,0,0,0
"FXYD5",1,3,10,11,2,1,1,1
"FXYD6",116,121,140,110,137,132,112,136
"FXYD6-FXYD2",0,0,0,0,0,0,0,0
"FXYD7",5,24,28,4,18,15,14,16
"FYB",0,0,0,0,0,0,0,0
"FYCO1",2,0,2,4,2,1,2,2
"FYN",107,31,72,65,85,53,76,67
"FYTTD1",22,19,27,22,23,19,23,26
"FZD1",10,4,13,18,10,5,8,10
"FZD10",0,1,2,0,0,0,6,1
"FZD2",18,9,13,21,13,8,14,17
"FZD3",15,9,12,9,12,10,11,12
"FZD4",2,1,2,5,1,1,2,1
"FZD5",4,2,2,3,2,1,1,2
"FZD6",14,2,5,7,6,2,8,7
"FZD7",59,22,52,49,63,39,49,61
"FZD8",4,1,1,4,2,1,2,2
"FZD9",7,5,8,3,9,6,8,9
"FZR1",23,17,24,18,25,23,25,24
"G0S2",1,3,3,5,2,3,2,4
"G2E3",5,6,5,4,4,5,5,6
"G3BP1",33,23,33,25,29,20,35,36
"G3BP2",49,47,55,44,61,47,58,65
"G6PC",0,0,0,0,0,0,0,0
"G6PC2",0,0,0,0,0,0,0,0
"G6PC3",66,30,56,55,66,38,53,57
"G6PD",23,21,22,19,22,17,22,21
"GAA",17,22,17,19,18,21,18,14
"GAB1",6,3,5,5,4,3,5,4
"GAB2",7,28,11,8,11,21,10,14
"GAB3",0,0,0,0,0,0,0,0
"GAB4",0,0,0,0,0,0,0,0
"GABARAP",260,380,293,291,321,242,301,348
"GABARAPL1",52,71,70,47,71,87,54,64
"GABARAPL2",97,108,132,85,145,112,128,148
"GABARAPL3",0,0,0,0,0,0,0,0
"GABBR1",2,3,3,1,3,3,2,2
"GABBR2",6,4,21,4,14,9,12,11
"GABPA",8,6,6,7,7,6,6,7
"GABPB1",9,11,9,7,9,7,10,11
"GABPB1-AS1",5,7,3,2,3,7,4,3
"GABPB2",2,2,1,2,1,1,2,1
"GABRA1",0,0,0,0,0,0,0,0
"GABRA2",1,1,2,1,2,1,1,2
"GABRA3",6,6,13,4,13,15,5,9
"GABRA4",0,0,0,0,0,0,0,0
"GABRA5",8,9,15,4,8,8,17,7
"GABRA6",0,0,0,0,0,0,0,0
"GABRB1",1,0,1,0,1,1,0,1
"GABRB2",2,1,1,1,2,0,1,2
"GABRB3",19,23,31,14,28,31,36,28
"GABRD",0,0,0,0,0,0,0,0
"GABRE",1,0,2,0,1,1,1,0
"GABRG1",0,0,0,0,0,0,0,0
"GABRG2",2,4,4,1,5,2,3,5
"GABRG3",2,1,2,0,2,1,1,1
"GABRP",0,0,0,0,0,0,0,0
"GABRQ",2,1,3,1,2,1,1,1
"GABRR1",0,1,3,1,1,2,3,1
"GABRR2",0,0,0,0,0,0,0,0
"GAD1",9,4,4,6,5,9,5,3
"GAD2",9,3,5,6,12,8,12,10
"GADD45A",14,17,18,18,15,25,18,12
"GADD45B",2,15,5,4,2,4,2,2
"GADD45G",12,21,16,8,16,12,21,20
"GADD45GIP1",36,31,41,39,45,22,42,44
"GADL1",0,0,0,0,0,0,0,0
"GAGE1",0,0,0,0,0,0,0,0
"GAGE10",0,0,0,0,0,0,0,0
"GAGE2A",0,0,0,0,0,0,0,0
"GAGE2B",0,0,0,0,0,0,0,0
"GAGE2C",0,0,0,0,0,0,0,0
"GAGE2D",0,0,0,0,0,0,0,0
"GAGE2E",0,0,0,0,0,0,0,0
"GAGE8",0,0,0,0,0,0,0,0
"GAK",14,11,13,12,14,12,15,15
"GAL",3,1,3,2,3,2,1,1
"GAL3ST1",1,1,1,1,2,2,1,2
"GAL3ST2",0,0,0,0,0,0,0,0
"GAL3ST3",2,2,4,3,4,3,4,4
"GAL3ST4",8,8,4,7,6,9,7,4
"GALC",12,3,10,10,9,6,11,9
"GALE",10,6,13,9,13,6,13,14
"GALK1",12,4,10,14,10,6,9,8
"GALK2",4,3,4,4,5,3,4,5
"GALM",4,2,3,5,3,1,3,3
"GALNS",7,3,8,10,11,3,9,9
"GALNT1",21,8,20,21,21,9,18,21
"GALNT10",10,1,8,10,7,2,7,5
"GALNT11",16,14,20,19,19,22,18,17
"GALNT12",2,1,1,2,1,0,3,1
"GALNT13",1,2,3,1,2,1,1,2
"GALNT14",0,1,1,1,1,1,1,1
"GALNT2",46,21,39,36,40,32,39,38
"GALNT3",1,0,0,0,1,0,0,0
"GALNT4",1,1,1,1,1,0,1,1
"GALNT5",0,0,0,1,0,0,0,0
"GALNT6",0,0,0,0,0,0,0,0
"GALNT7",9,3,8,6,8,5,9,8
"GALNT8",1,2,1,1,1,2,1,1
"GALNT9",2,6,9,3,3,10,4,5
"GALNTL1",11,13,10,6,12,15,11,11
"GALNTL2",0,0,1,0,2,1,1,1
"GALNTL4",3,1,3,4,5,1,3,3
"GALNTL5",0,0,0,0,0,0,0,0
"GALNTL6",0,1,2,0,1,1,1,1
"GALP",1,1,1,1,2,1,2,2
"GALR1",0,0,0,0,0,0,0,0
"GALR2",0,0,0,0,0,0,0,0
"GALR3",0,0,0,0,0,0,0,0
"GALT",13,15,11,12,12,17,13,10
"GAMT",22,14,26,23,24,12,21,19
"GAN",2,2,2,1,2,3,2,2
"GANAB",110,93,99,108,95,73,93,98
"GANC",1,1,2,2,2,2,2,2
"GAP43",135,96,254,85,200,171,143,178
"GAPDH",2907,1800,2825,3319,3107,1280,2856,2729
"GAPDHS",1,1,1,1,1,1,1,1
"GAPT",0,0,0,0,0,0,0,0
"GAPVD1",9,8,9,8,9,10,9,10
"GAR1",18,8,13,14,17,8,15,18
"GARNL3",4,2,5,4,5,4,5,4
"GARS",34,43,43,55,44,45,38,51
"GART",20,12,20,14,21,13,19,22
"GAS1",3,3,2,13,1,1,5,3
"GAS2",0,0,0,10,0,0,0,0
"GAS2L1",3,1,3,3,4,1,3,3
"GAS2L2",0,0,1,0,2,0,1,1
"GAS2L3",4,3,3,4,2,2,3,4
"GAS5",170,406,167,237,186,252,180,226
"GAS5-AS1",1,1,1,1,1,1,1,2
"GAS6",16,10,21,18,19,19,18,9
"GAS6-AS1",0,0,0,0,0,0,0,0
"GAS7",5,3,8,10,6,5,5,3
"GAS8",7,5,6,3,6,5,5,5
"GAST",0,0,0,0,0,0,0,0
"GATA1",0,0,0,0,0,0,0,0
"GATA2",0,1,0,4,0,0,0,0
"GATA3",0,0,0,1,1,0,0,0
"GATA4",0,0,0,0,0,0,0,0
"GATA5",0,0,0,1,0,0,0,0
"GATA6",0,0,0,2,0,0,0,0
"GATAD1",9,10,5,6,6,8,6,7
"GATAD2A",13,14,15,11,14,16,14,15
"GATAD2B",13,21,11,10,13,23,13,13
"GATC",14,17,19,11,12,15,16,15
"GATM",20,19,21,13,21,18,21,15
"GATS",34,34,30,15,37,37,42,36
"GATSL1",1,2,1,1,1,2,1,2
"GATSL2",9,17,17,9,14,22,17,17
"GATSL3",4,3,3,6,3,4,2,3
"GBA",13,4,12,13,12,5,12,10
"GBA2",16,17,15,13,17,18,17,15
"GBA3",0,0,0,0,0,0,0,0
"GBAP1",3,3,2,1,2,2,2,2
"GBAS",36,21,30,36,33,24,30,31
"GBE1",8,3,7,9,10,2,7,8
"GBF1",19,18,18,19,20,24,19,21
"GBGT1",0,0,0,1,0,0,0,0
"GBP1",0,0,0,6,0,0,0,0
"GBP1P1",0,0,0,0,0,0,0,0
"GBP2",0,0,1,7,0,0,0,0
"GBP3",0,0,0,0,0,0,0,0
"GBP4",0,0,0,0,0,0,0,0
"GBP5",1,0,1,1,0,1,0,0
"GBP6",0,0,0,0,0,0,0,0
"GBP7",0,0,0,0,0,0,0,0
"GBX1",1,1,1,1,1,0,3,1
"GBX2",1,2,4,2,3,3,7,9
"GC",0,2,7,0,3,1,2,1
"GCA",8,1,5,4,6,3,4,6
"GCAT",11,7,8,11,10,5,7,9
"GCC1",6,3,6,5,7,4,6,6
"GCC2",7,3,5,5,7,4,6,5
"GCDH",11,2,6,6,6,3,7,5
"GCFC1",13,17,8,6,9,16,10,10
"GCFC1-AS1",2,2,2,1,2,3,2,2
"GCFC2",5,3,4,4,3,2,3,4
"GCG",0,0,0,0,0,0,0,0
